NAME,WEAR,STICKER_0,STICKER_1,STICKER_2,STICKER_3,ID,LINK
AWP | Asiimov,Well-Worn,G2 (Holo) | 2020 RMR,Fnatic (Holo) | Boston 2018,oskar (Foil) | Boston 2018,kennyS | Boston 2018,730_2_26999410960,https://steamcommunity.com/profiles/76561199198738805/inventory/#730_2_26999410960
AWP | Redline,Field-Tested,Astralis | Cologne 2016,,,,730_2_26999410950,https://steamcommunity.com/profiles/76561199198738805/inventory/#730_2_26999410950
AWP | Worm God,Factory New,Blue Gem (Glitter),,,,730_2_26997077342,https://steamcommunity.com/profiles/76561199198738805/inventory/#730_2_26997077342
M4A4 | Griffin,Field-Tested,MIBR | Berlin 2019,Ninjas in Pyjamas | DreamHack 2014,,,730_2_27016651762,https://steamcommunity.com/profiles/76561199197204208/inventory/#730_2_27016651762
USP-S | Cyrex,Well-Worn,mou | Atlanta 2017,Gambit Gaming | Cologne 2016,Gambit Gaming | Cologne 2016,,730_2_27014300471,https://steamcommunity.com/profiles/76561199197204208/inventory/#730_2_27014300471
StatTrak™ AWP | Phobos,Field-Tested,device (Foil) | Cologne 2015,Team SoloMid (Foil) | Cologne 2015,GuardiaN (Foil) | Cologne 2015,Awp Country,730_2_27010883463,https://steamcommunity.com/profiles/76561199197204208/inventory/#730_2_27010883463
StatTrak™ AWP | Capillary,Well-Worn,PGL | Antwerp 2022,Infinite Diamond (Holo),FaZe Clan (Glitter) | Antwerp 2022,,730_2_27010704827,https://steamcommunity.com/profiles/76561199197204208/inventory/#730_2_27010704827
AK-47 | Neon Rider,Field-Tested,EZ,London Conspiracy | Cologne 2014,,,730_2_26996340755,https://steamcommunity.com/profiles/76561199197204208/inventory/#730_2_26996340755
AWP | Electric Hive,Minimal Wear,compLexity Gaming | Katowice 2014,Ninjas in Pyjamas | Katowice 2014,iBUYPOWER | Katowice 2014,HellRaisers | Katowice 2014,730_2_26996340750,https://steamcommunity.com/profiles/76561199197204208/inventory/#730_2_26996340750
AWP | Pit Viper,Field-Tested,Magisk | Berlin 2019,FURIA | Katowice 2019,allu (Foil) | Krakow 2017,Zeus | Katowice 2019,730_2_26990288978,https://steamcommunity.com/profiles/76561199197204208/inventory/#730_2_26990288978
AWP | Elite Build,Well-Worn,JW (Foil) | Cluj-Napoca 2015,svyat | Berlin 2019,xsepower | Berlin 2019,Terrorist-Tech,730_2_26983579787,https://steamcommunity.com/profiles/76561199197204208/inventory/#730_2_26983579787
AWP | Worm God,Factory New,TaZ | Cologne 2016,,,,730_2_26937027111,https://steamcommunity.com/profiles/76561199197204208/inventory/#730_2_26937027111
AK-47 | Blue Laminate,Minimal Wear,freakazoid | Cologne 2015,seang@res | Cologne 2015,Cloud9 | Cologne 2014,pashaBiceps | Cologne 2015,730_2_25666515536,https://steamcommunity.com/profiles/76561199197204208/inventory/#730_2_25666515536
AWP | Worm God,Field-Tested,nitr0 | Cologne 2016,,,,730_2_27028873114,https://steamcommunity.com/profiles/76561199199295265/inventory/#730_2_27028873114
AWP | Asiimov,Battle-Scarred,s1mple (Holo) | Stockholm 2021,Blue Gem (Glitter),,,730_2_27005437818,https://steamcommunity.com/profiles/76561199199295265/inventory/#730_2_27005437818
M4A4 | The Coalition,Minimal Wear,Leaving The Station (Holo),Leaving The Station (Holo),,,730_2_27000855451,https://steamcommunity.com/profiles/76561199199295265/inventory/#730_2_27000855451
StatTrak™ M4A1-S | Dark Water,Minimal Wear,SicK (Gold) | Berlin 2019,compLexity Gaming | Katowice 2014,Assassin (Holo),,730_2_26987722874,https://steamcommunity.com/profiles/76561199199295265/inventory/#730_2_26987722874
USP-S | Orion,Factory New,FaZe Clan | Boston 2018,Virtus.Pro (Holo) | Cologne 2016,Virtus.Pro | Cologne 2016,ELEAGUE (Holo) | Boston 2018,730_2_26987595436,https://steamcommunity.com/profiles/76561199199295265/inventory/#730_2_26987595436
AK-47 | Neon Rider,Field-Tested,Lambda (Holo),Lambda (Holo),Lambda (Holo),,730_2_26984109323,https://steamcommunity.com/profiles/76561199199295265/inventory/#730_2_26984109323
StatTrak™ AWP | PAW,Battle-Scarred,chrisJ (Foil) | London 2018,,,,730_2_26981587394,https://steamcommunity.com/profiles/76561199199295265/inventory/#730_2_26981587394
StatTrak™ USP-S | Orion,Minimal Wear,Virtus.Pro (Foil) | Stockholm 2021,Virtus.Pro (Holo) | Cologne 2016,Virtus.Pro (Holo) | Stockholm 2021,Virtus.Pro (Holo) | Stockholm 2021,730_2_26980661957,https://steamcommunity.com/profiles/76561199199295265/inventory/#730_2_26980661957
AWP | Wildfire,Minimal Wear,Incineration (Holo),Dragon Lore (Foil),,,730_2_27034595456,https://steamcommunity.com/profiles/76561199197216615/inventory/#730_2_27034595456
AK-47 | Asiimov,Field-Tested,Incineration (Holo),Incineration (Holo),Incineration (Holo),Incineration (Holo),730_2_26984763638,https://steamcommunity.com/profiles/76561199197216615/inventory/#730_2_26984763638
StatTrak™ FAMAS | Commemoration,Factory New,Heroic (Glitter) | Antwerp 2022,Blue Gem (Glitter),Blue Gem (Glitter),Blue Gem (Glitter),730_2_26961482711,https://steamcommunity.com/profiles/76561199197216615/inventory/#730_2_26961482711
StatTrak™ M4A1-S | Basilisk,Minimal Wear,Incineration (Holo),,,,730_2_26126743211,https://steamcommunity.com/profiles/76561199197216615/inventory/#730_2_26126743211
AWP | Wildfire,Field-Tested,Dragon Lore (Foil),,,,730_2_27029820002,https://steamcommunity.com/profiles/76561199199895773/inventory/#730_2_27029820002
M4A1-S | Printstream,Field-Tested,Runtime (Holo),,,,730_2_27029749304,https://steamcommunity.com/profiles/76561199199895773/inventory/#730_2_27029749304
