NAME,WEAR,STICKER_0,STICKER_1,STICKER_2,STICKER_3,ID,LINK
M4A4 | 龍王 (Dragon King),Field-Tested,Fnatic | Katowice 2015,,,,730_2_27432988623,https://steamcommunity.com/id/barbara575/inventory/#730_2_27432988623
AK-47 | X-Ray,Well-Worn,Flame Tier6 (Holo),iBUYPOWER | Cologne 2014,Miami Tier6 (Holo),Forge Tier6 (Holo),730_2_26887783510,https://steamcommunity.com/id/barbara575/inventory/#730_2_26887783510
StatTrak™ M4A4 | Royal Paladin,Factory New,Global Elite (Foil),,,,730_2_26515307250,https://steamcommunity.com/id/barbara575/inventory/#730_2_26515307250
AWP | Gungnir,Factory New,North (Holo) | London 2018,,,,730_2_23654652812,https://steamcommunity.com/id/barbara575/inventory/#730_2_23654652812
M4A1-S | Imminent Danger,Factory New,Lambda (Holo),Lambda (Holo),Lambda (Holo),Lambda (Holo),730_2_27201909993,https://steamcommunity.com/id/olliemo/inventory/#730_2_27201909993
AK-47 | Gold Arabesque,Field-Tested,Natus Vincere (Foil) | Stockholm 2021,electroNic (Gold) | Stockholm 2021,Ninjas in Pyjamas (Foil) | Stockholm 2021,Showdown (Foil),730_2_27149711450,https://steamcommunity.com/id/olliemo/inventory/#730_2_27149711450
M4A4 | Radiation Hazard,Factory New,SPUNJ (Foil) | Cologne 2015,,,,730_2_27371030947,https://steamcommunity.com/id/gabriel309/inventory/#730_2_27371030947
AK-47 | Fire Serpent,Field-Tested,olofmeister (Foil) | Krakow 2017,flusha (Foil) | Krakow 2017,KRIMZ (Foil) | Krakow 2017,flusha (Foil) | Krakow 2017,730_2_27137932855,https://steamcommunity.com/id/gabriel309/inventory/#730_2_27137932855
AK-47 | X-Ray,Factory New,gxx- (Glitter) | Antwerp 2022,gxx- (Glitter) | Antwerp 2022,gxx- (Glitter) | Antwerp 2022,Virtus.Pro (Holo) | Cologne 2014,730_2_26936870370,https://steamcommunity.com/id/gabriel309/inventory/#730_2_26936870370
StatTrak™ M4A4 | The Emperor,Factory New,Global Elite (Foil),,,,730_2_26255765637,https://steamcommunity.com/id/gabriel309/inventory/#730_2_26255765637
StatTrak™ M4A4 | Asiimov,Field-Tested,flusha (Foil) | Krakow 2017,flusha (Foil) | Krakow 2017,flusha (Foil) | Krakow 2017,flusha (Foil) | Krakow 2017,730_2_26235037061,https://steamcommunity.com/id/gabriel309/inventory/#730_2_26235037061
AWP | Medusa,Minimal Wear,Noble,Noble,Noble,Titan | Katowice 2015,730_2_24323556407,https://steamcommunity.com/id/gabriel309/inventory/#730_2_24323556407
StatTrak™ M4A4 | Asiimov,Field-Tested,G2 Esports (Foil) | Cluj-Napoca 2015,G2 Esports (Foil) | MLG Columbus 2016,G2 Esports (Holo) | Cologne 2016,G2 Esports (Holo) | Boston 2018,730_2_26237475154,https://steamcommunity.com/id/olafit/inventory/#730_2_26237475154
M4A4 | Howl,Field-Tested,Showdown (Foil),Crown (Foil),,,730_2_27413046353,https://steamcommunity.com/id/milymckinney/inventory/#730_2_27413046353
AUG | Akihabara Accept,Well-Worn,TV Installation (Lenticular),Killjoy (Holo),,,730_2_27309984517,https://steamcommunity.com/id/milymckinney/inventory/#730_2_27309984517
