NAME,WEAR,STICKER_0,STICKER_1,STICKER_2,STICKER_3,ID,LINK
Desert Eagle | Kumicho Dragon,Factory New,n0thing (Foil) | Cluj-Napoca 2015,,,,730_2_27581178326,https://steamcommunity.com/profiles/76561199198446280/inventory/#730_2_27581178326
AWP | Electric Hive,Field-Tested,jdm64 | Cologne 2016,ESL | Cologne 2016,,,730_2_27578587951,https://steamcommunity.com/profiles/76561199198446280/inventory/#730_2_27578587951
AK-47 | Blue Laminate,Minimal Wear,Ninjas in Pyjamas  | Katowice 2015,Virtus.Pro | Cologne 2014,Copenhagen Wolves | Cologne 2014,Virtus.pro | Katowice 2015,730_2_27573771387,https://steamcommunity.com/profiles/76561199198446280/inventory/#730_2_27573771387
AK-47 | Redline,Minimal Wear,NEO (Gold) | Berlin 2019,,,,730_2_27542720938,https://steamcommunity.com/profiles/76561199198446280/inventory/#730_2_27542720938
AK-47 | Orbit Mk01,Factory New,Avangar (Holo) | Boston 2018,Avangar (Holo) | Boston 2018,Avangar (Holo) | Boston 2018,OG (Holo) | 2020 RMR,730_2_27520911587,https://steamcommunity.com/profiles/76561199198446280/inventory/#730_2_27520911587
Desert Eagle | Ocean Drive,Field-Tested,Infinite Diamond (Holo),Vitality (Holo) | Antwerp 2022,Heroic (Holo) | Antwerp 2022,,730_2_27585015831,https://steamcommunity.com/profiles/76561199199855890/inventory/#730_2_27585015831
AWP | Hyper Beast,Well-Worn,FaZe Clan (Holo) | Krakow 2017,,,,730_2_27584059056,https://steamcommunity.com/profiles/76561199199855890/inventory/#730_2_27584059056
AK-47 | Neon Rider,Field-Tested,Bosh (Holo),Bosh (Holo),Bosh (Holo),ESL One Cologne 2014 (Blue),730_2_27582124954,https://steamcommunity.com/profiles/76561199199855890/inventory/#730_2_27582124954
AK-47 | Redline,Field-Tested,coldzera (Foil) | London 2018,Stewie2K (Foil) | London 2018,FalleN (Foil) | London 2018,MIBR (Holo) | London 2018,730_2_27549553398,https://steamcommunity.com/profiles/76561199199855890/inventory/#730_2_27549553398
M4A1-S | Decimator,Field-Tested,SK Gaming (Holo) | Krakow 2017,FalleN (Foil) | Boston 2018,fer (Foil) | Boston 2018,Witchcraft,730_2_27549553393,https://steamcommunity.com/profiles/76561199199855890/inventory/#730_2_27549553393
AK-47 | Legion of Anubis,Factory New,GODSENT (Foil) | Atlanta 2017,,,,730_2_27541971462,https://steamcommunity.com/profiles/76561199199855890/inventory/#730_2_27541971462
AWP | Wildfire,Minimal Wear,Dragon Lore (Foil),,,,730_2_27541971451,https://steamcommunity.com/profiles/76561199199855890/inventory/#730_2_27541971451
M4A4 | Bullet Rain,Minimal Wear,Bullet Rain,FaZe Clan (Holo) | Boston 2018,,,730_2_27535509969,https://steamcommunity.com/profiles/76561199199855890/inventory/#730_2_27535509969
StatTrak™ USP-S | Guardian,Minimal Wear,MTS GameGod Wolf | Cologne 2014,Teamwork (Holo),Teamwork (Holo),Teamwork (Holo),730_2_27580078102,https://steamcommunity.com/profiles/76561199196797981/inventory/#730_2_27580078102
AWP | Wildfire,Field-Tested,Vitality (Holo) | Stockholm 2021,Incineration (Holo),,,730_2_27570225008,https://steamcommunity.com/profiles/76561199196797981/inventory/#730_2_27570225008
