NAME,WEAR,STICKER_0,STICKER_1,STICKER_2,STICKER_3,ID,LINK
AK-47 | Fire Serpent,Factory New,Natus Vincere (Foil) | Krakow 2017,Natus Vincere (Foil) | Krakow 2017,Natus Vincere (Foil) | Krakow 2017,s1mple (Foil) | Krakow 2017,730_2_25080661092,https://steamcommunity.com/id/brettfc/inventory/#730_2_25080661092
AWP | Gungnir,Factory New,Team LDLC.com | Cologne 2014,Team LDLC.com | Cologne 2014,Team LDLC.com | Cologne 2014,somebody (Gold) | Berlin 2019,730_2_25034521029,https://steamcommunity.com/id/brettfc/inventory/#730_2_25034521029
StatTrak™ Desert Eagle | Cobalt Disruption,Factory New,Blue Gem (Glitter),Blue Gem (Glitter),Blue Gem (Glitter),,730_2_27023062615,https://steamcommunity.com/id/carlcollin/inventory/#730_2_27023062615
StatTrak™ Desert Eagle | Crimson Web,Factory New,Let's Roll-oll,Lambda (Holo),Lambda (Holo),Lambda (Holo),730_2_26018892632,https://steamcommunity.com/id/carlcollin/inventory/#730_2_26018892632
M4A4 | The Battlestar,Battle-Scarred,STYKO (Foil) | Boston 2018,ISSAA (Foil) | London 2018,woxic (Foil) | London 2018,,730_2_26905061577,https://steamcommunity.com/id/roy50/inventory/#730_2_26905061577
StatTrak™ AWP | BOOM,Factory New,Team EnVyUs (Holo) | Cologne 2016,Team Dignitas (Foil) | Cologne 2016,Team Dignitas (Foil) | Cologne 2016,Team EnVyUs (Holo) | Katowice 2015,730_2_25732924472,https://steamcommunity.com/id/roy50/inventory/#730_2_25732924472
StatTrak™ AWP | Lightning Strike,Factory New,Team Dignitas | Cologne 2014,,,,730_2_24965770813,https://steamcommunity.com/id/roy50/inventory/#730_2_24965770813
AWP | Dragon Lore,Minimal Wear,gob b (Gold) | Katowice 2019,advent (Gold) | Katowice 2019,,,730_2_23623699364,https://steamcommunity.com/id/roy50/inventory/#730_2_23623699364
USP-S | Cortex,Minimal Wear,Runtime (Holo),Cyber Romanov (Holo),,,730_2_27047464427,https://steamcommunity.com/id/olliemo/inventory/#730_2_27047464427
AWP | Asiimov,Battle-Scarred,Lambda (Holo),Lambda (Holo),Lambda (Holo),Lambda (Holo),730_2_27047464421,https://steamcommunity.com/id/olliemo/inventory/#730_2_27047464421
AK-47 | Cartel,Factory New,TSM Kinguin | Katowice 2015,,,,730_2_26780123068,https://steamcommunity.com/id/olliemo/inventory/#730_2_26780123068
StatTrak™ P2000 | Ocean Foam,Factory New,Cloud9 | Cologne 2014,Evil Geniuses (Holo) | Stockholm 2021,Evil Geniuses (Holo) | Stockholm 2021,Copenhagen Flames | Stockholm 2021,730_2_25148209238,https://steamcommunity.com/id/olliemo/inventory/#730_2_25148209238
AK-47 | X-Ray,Factory New,gxx- (Glitter) | Antwerp 2022,gxx- (Glitter) | Antwerp 2022,gxx- (Glitter) | Antwerp 2022,Virtus.Pro (Holo) | Cologne 2014,730_2_26936870370,https://steamcommunity.com/id/gabriel309/inventory/#730_2_26936870370
AK-47 | Elite Build,Minimal Wear,Astralis | MLG Columbus 2016,Team Liquid | Cologne 2016,OpTic Gaming | Cologne 2016,Astralis | MLG Columbus 2016,730_2_26901425739,https://steamcommunity.com/id/gabriel309/inventory/#730_2_26901425739
StatTrak™ M4A4 | The Emperor,Factory New,Global Elite (Foil),,,,730_2_26255765637,https://steamcommunity.com/id/gabriel309/inventory/#730_2_26255765637
StatTrak™ M4A4 | Asiimov,Field-Tested,flusha (Foil) | Krakow 2017,flusha (Foil) | Krakow 2017,flusha (Foil) | Krakow 2017,flusha (Foil) | Krakow 2017,730_2_26235037061,https://steamcommunity.com/id/gabriel309/inventory/#730_2_26235037061
AWP | The Prince,Field-Tested,Assassin (Holo),Dragon Lore (Foil),Combine Helmet (Holo),Dragon Lore (Foil),730_2_25602196724,https://steamcommunity.com/id/gabriel309/inventory/#730_2_25602196724
AWP | Medusa,Minimal Wear,Noble,Noble,Noble,Titan | Katowice 2015,730_2_24323556407,https://steamcommunity.com/id/gabriel309/inventory/#730_2_24323556407
AWP | PAW,Factory New,Incineration (Holo),,,,730_2_27035074764,https://steamcommunity.com/id/olafit/inventory/#730_2_27035074764
AK-47 | Gold Arabesque,Battle-Scarred,Lambda (Holo),,,,730_2_26762268459,https://steamcommunity.com/id/olafit/inventory/#730_2_26762268459
USP-S | Cortex,Field-Tested,Golden | Berlin 2019,Rickeh | Berlin 2019,AZR | Berlin 2019,dephh | Berlin 2019,730_2_26638410652,https://steamcommunity.com/id/olafit/inventory/#730_2_26638410652
StatTrak™ M4A4 | Asiimov,Field-Tested,G2 Esports (Foil) | Cluj-Napoca 2015,G2 Esports (Foil) | MLG Columbus 2016,G2 Esports (Holo) | Cologne 2016,G2 Esports (Holo) | Boston 2018,730_2_26237475154,https://steamcommunity.com/id/olafit/inventory/#730_2_26237475154
AK-47 | X-Ray,Well-Worn,flamie (Foil) | Krakow 2017,flamie (Foil) | Krakow 2017,flamie (Foil) | Krakow 2017,flamie (Foil) | Krakow 2017,730_2_26710889910,https://steamcommunity.com/id/milymckinney/inventory/#730_2_26710889910
StatTrak™ Galil AR | Stone Cold,Field-Tested,Perry,kioShiMa (Foil) | Cluj-Napoca 2015,Silver,Supreme Master First Class,730_2_25700127446,https://steamcommunity.com/id/milymckinney/inventory/#730_2_25700127446
AWP | The Prince,Factory New,TACO (Gold) | Katowice 2019,,,,730_2_25371743116,https://steamcommunity.com/id/milymckinney/inventory/#730_2_25371743116
AWP | Dragon Lore,Factory New,pashaBiceps (Gold) | Boston 2018,,,,730_2_24747904755,https://steamcommunity.com/id/milymckinney/inventory/#730_2_24747904755
AWP | Medusa,Factory New,Happy (Foil) | Atlanta 2017,apEX (Foil) | Atlanta 2017,Team EnVyUs (Foil) | Atlanta 2017,,730_2_24601139816,https://steamcommunity.com/id/milymckinney/inventory/#730_2_24601139816
AK-47 | Asiimov,Field-Tested,apEX (Holo) | Stockholm 2021,Lambda,Runtime (Holo),,730_2_27047464769,https://steamcommunity.com/id/hannah6/inventory/#730_2_27047464769
AWP | Wildfire,Field-Tested,Incineration (Holo),,,,730_2_26988068030,https://steamcommunity.com/id/hannah6/inventory/#730_2_26988068030
Glock-18 | Reactor,Minimal Wear,Lambda (Holo),b1t | Stockholm 2021,,,730_2_26967682608,https://steamcommunity.com/id/hannah6/inventory/#730_2_26967682608
AWP | Desert Hydra,Well-Worn,Dosia (Foil) | Krakow 2017,,,,730_2_26766388771,https://steamcommunity.com/id/hannah6/inventory/#730_2_26766388771
StatTrak™ M4A4 | Asiimov,Field-Tested,Virtus.Pro (Holo) | Atlanta 2017,Virtus.Pro (Holo) | Atlanta 2017,pashaBiceps (Foil) | Krakow 2017,Virtus.Pro | Atlanta 2017,730_2_26250086598,https://steamcommunity.com/id/hannah6/inventory/#730_2_26250086598
M4A4 | Howl,Factory New,Natus Vincere | Katowice 2015,Natus Vincere | Katowice 2015,,,730_2_25554254966,https://steamcommunity.com/id/hannah6/inventory/#730_2_25554254966
Souvenir M4A1-S | Master Piece,Minimal Wear,StarLadder (Gold) | Berlin 2019,Natus Vincere (Gold) | Berlin 2019,flamie (Gold) | Berlin 2019,DreamEaters (Gold) | Berlin 2019,730_2_20004345013,https://steamcommunity.com/id/hannah6/inventory/#730_2_20004345013
Desert Eagle | Cobalt Disruption,Minimal Wear,DEVIL (Foil) | MLG Columbus 2016,ESL (Foil) | Cologne 2016,Team EnVyUs (Foil) | Cologne 2015,,730_2_26993677541,https://steamcommunity.com/id/ethel73/inventory/#730_2_26993677541
AWP | Graphite,Factory New,Team LDLC.com | Cologne 2014,Vox Eminor | Cologne 2014,Team Dignitas | Cologne 2014,Team Dignitas | Cologne 2014,730_2_25792860061,https://steamcommunity.com/id/ethel73/inventory/#730_2_25792860061
